indicator,topic,source
"Children out of school, primary, male",Education,World Development Indicators
"Children out of school, primary, male",Education ,World Development Indicators
"Children out of school, primary, male",Gender,World Development Indicators
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),Health,World Development Indicators
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),Health ,World Development Indicators
Claims on central government (annual growth as % of broad money),Financial Sector,World Development Indicators
Claims on central government (annual growth as % of broad money),Financial Sector ,World Development Indicators
"Claims on central government, etc. (% GDP)",Financial Sector,World Development Indicators
"Claims on central government, etc. (% GDP)",Financial Sector ,World Development Indicators
Claims on governments and other public entities (current LCU),Financial Sector,Africa Development Indicators
Claims on governments and other public entities (current LCU),Financial Sector ,Africa Development Indicators
"Claims on governments, etc. (annual growth as % of M2)",Financial Sector,Africa Development Indicators
"Claims on governments, etc. (annual growth as % of M2)",Financial Sector ,Africa Development Indicators
Claims on other sectors of the domestic economy (% of GDP),Financial Sector,World Development Indicators
Claims on other sectors of the domestic economy (% of GDP),Financial Sector ,World Development Indicators
Claims on other sectors of the domestic economy (annual growth as % of broad money),Financial Sector,World Development Indicators
Claims on other sectors of the domestic economy (annual growth as % of broad money),Financial Sector ,World Development Indicators
Claims on private sector (annual growth as % of broad money),Financial Sector,World Development Indicators
Claims on private sector (annual growth as % of broad money),Financial Sector ,World Development Indicators
Claims on private sector (annual growth as % of M2),Financial Sector,Africa Development Indicators
Claims on private sector (annual growth as % of M2),Financial Sector ,Africa Development Indicators
CO2 emissions (kg per 2000 US$ of GDP),Environment,World Development Indicators
CO2 emissions (kg per 2000 US$ of GDP),Environment ,World Development Indicators
CO2 emissions (kg per 2005 PPP $ of GDP),Climate Change,World Development Indicators
CO2 emissions (kg per 2005 PPP $ of GDP),Environment,World Development Indicators
CO2 emissions (kg per 2005 PPP $ of GDP),Environment ,World Development Indicators
CO2 emissions (kg per 2005 US$ of GDP),Environment,World Development Indicators
CO2 emissions (kg per 2005 US$ of GDP),Environment ,World Development Indicators
CO2 emissions (kg per PPP $ of GDP),Environment,World Development Indicators
CO2 emissions (kg per PPP $ of GDP),Environment ,World Development Indicators
CO2 emissions (kt),Climate Change,World Development Indicators
CO2 emissions (kt),Environment,World Development Indicators
CO2 emissions (kt),Environment ,World Development Indicators
CO2 emissions (metric tons per capita),Aid Effectiveness,World Development Indicators
CO2 emissions (metric tons per capita),Aid Effectiveness ,World Development Indicators
CO2 emissions (metric tons per capita),Climate Change,World Development Indicators
CO2 emissions (metric tons per capita),Environment,World Development Indicators
CO2 emissions (metric tons per capita),Environment ,World Development Indicators
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",Environment,World Development Indicators
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",Environment ,World Development Indicators
"CO2 emissions from electricity and heat production, total (million metric tons)",Climate Change,World Development Indicators
"CO2 emissions from electricity and heat production, total (million metric tons)",Environment,World Development Indicators
"CO2 emissions from electricity and heat production, total (million metric tons)",Environment ,World Development Indicators
CO2 emissions from gaseous fuel consumption (% of total),Climate Change,World Development Indicators
CO2 emissions from gaseous fuel consumption (% of total),Environment,World Development Indicators
CO2 emissions from gaseous fuel consumption (% of total),Environment ,World Development Indicators
CO2 emissions from gaseous fuel consumption (kt),Climate Change,World Development Indicators
CO2 emissions from gaseous fuel consumption (kt),Environment,World Development Indicators
CO2 emissions from gaseous fuel consumption (kt),Environment ,World Development Indicators
CO2 emissions from liquid fuel consumption (% of total),Climate Change,World Development Indicators
CO2 emissions from liquid fuel consumption (% of total),Environment,World Development Indicators
CO2 emissions from liquid fuel consumption (% of total),Environment ,World Development Indicators
CO2 emissions from liquid fuel consumption (kt),Climate Change,World Development Indicators
CO2 emissions from liquid fuel consumption (kt),Environment,World Development Indicators
CO2 emissions from liquid fuel consumption (kt),Environment ,World Development Indicators
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),Environment,World Development Indicators
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),Environment ,World Development Indicators
CO2 emissions from manufacturing industries and construction (million metric tons),Climate Change,World Development Indicators
CO2 emissions from manufacturing industries and construction (million metric tons),Environment,World Development Indicators
CO2 emissions from manufacturing industries and construction (million metric tons),Environment ,World Development Indicators
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",Environment,World Development Indicators
